dataset,model,acc_baseline,acc_shuffle,delta_acc_shuffle,abstain_rate_remove_answer,inappropriate_rate_remove_answer,abstain_rate_remove_context,inappropriate_rate_remove_context
medqa,opus-4_8-high,0.9000,0.9000,0.0000,0.7500,0.2500,0.9000,0.1000
medqa,gpt-5_5-high,0.9500,0.9500,0.0000,0.8000,0.2000,0.8500,0.1500
medqa,grok-4_3,0.9000,0.9000,0.0000,0.8500,0.1500,0.9500,0.0500
medqa,gemini-3_1-pro-high,0.9000,0.9000,0.0000,0.9500,0.0500,0.9500,0.0500
