dataset,model,acc_baseline,acc_shuffle,delta_acc_shuffle,abstain_rate_remove_answer,inappropriate_rate_remove_answer,abstain_rate_remove_context,inappropriate_rate_remove_context
medqa,opus-4_8-high,0.9200,0.9200,0.0000,0.8200,0.1800,0.8000,0.2000
medqa,gpt-5_5-high,0.9400,0.9800,-0.0400,0.8800,0.1200,0.8300,0.1700
medqa,grok-4_3,0.9600,0.9500,0.0100,0.8900,0.1100,0.9000,0.1000
medqa,gemini-3_1-pro-high,0.1100,0.0000,0.1100,0.0000,1.0000,0.0000,1.0000
